id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
186;CELPE;3;CEPE5;BR;10.835.932/0001-08;Estudar. Projetar. Construir E Explorar Os Sistemas de Distribuição E Comercialização Aos Consumidores Finais de Energia Elétrica. Bem Como A Geraçãa de Energia Elétrica em Sistema Isolado.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpe.com.br
187;CELPE;3;CEPE6;BR;10.835.932/0001-08;Estudar. Projetar. Construir E Explorar Os Sistemas de Distribuição E Comercialização Aos Consumidores Finais de Energia Elétrica. Bem Como A Geraçãa de Energia Elétrica em Sistema Isolado.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.celpe.com.br
188;CELUL IRANI;10;RANI3;BR;92.791.243/0001-03;Fabricação de Papel Para Embalagem. Embalagens de Papelão Ondulado E Resinas.;Materiais Básicos / Madeira e Papel / Papel e Celulose;www.irani.com.br
189;CELUL IRANI;10;RANI4;BR;92.791.243/0001-03;Fabricação de Papel Para Embalagem. Embalagens de Papelão Ondulado E Resinas.;Materiais Básicos / Madeira e Papel / Papel e Celulose;www.irani.com.br
190;CEMAR;3;ENMA3B;BR;06.272.793/0001-84;Empresa Distribuidora de Energia Elétrica Para Todo O Estado Do Maranhão.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cemar-ma.com.br
191;CEMAR;3;ENMA5B;BR;06.272.793/0001-84;Empresa Distribuidora de Energia Elétrica Para Todo O Estado Do Maranhão.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cemar-ma.com.br
192;CEMAR;3;ENMA6B;BR;06.272.793/0001-84;Empresa Distribuidora de Energia Elétrica Para Todo O Estado Do Maranhão.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cemar-ma.com.br
193;CEMEPE;5;MAPT3;BR;93.828.986/0001-73;5;Outros / Outros / Outros;www.cemepe.com.br
194;CEMEPE;5;MAPT4;BR;93.828.986/0001-73;5;Outros / Outros / Outros;www.cemepe.com.br
195;CEMIG;3;CMIG3;BR;17.155.730/0001-64;Concessionária de Serviço Público de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.cemig.com.br
